id,Artist Name,id_sex,id_country,id_language,id_genre,id_arist_type,Debut Year
128,Jason Derulo,1,2,1,2,1,2009
129,BLACKPINK,2,6,3,5,2,2016
130,JHAYCO,1,2,2,3,1,2017
131,Bebe Rexha,2,2,1,2,1,2014
132,Daft Punk,1,8,1,8,2,1994
133,Luis Miguel,1,11,2,10,1,1982
134,Demi Lovato,2,2,1,2,1,2008
135,Akon,1,22,1,4,1,2004
136,AC/DC,1,12,1,6,2,1975
137,Sebastian Yatra,1,5,2,10,1,2013
138,Carín León,1,11,2,11,1,2010
139,Alan Walker,1,17,1,8,1,2014
140,A Boogie Wit da Hoodie,1,2,1,1,1,2016
141,Fleetwood Mac,2,3,1,6,2,1967
142,Hozier,1,23,1,6,1,2013
143,Ellie Goulding,2,3,1,2,1,2009
144,Radiohead,1,3,1,6,2,1992
145,Big Sean,1,2,1,1,1,2007
146,Flo Rida,1,2,1,1,1,2007
147,P!nk,2,2,1,2,1,2000
148,Nirvana,1,2,1,6,2,1989
149,Pop Smoke,1,2,1,1,1,2018
150,Britney Spears,2,2,1,2,1,1998
151,James Arthur,1,3,1,2,1,2012
152,Tory Lanez,1,1,1,1,1,2009
153,Pharrell Williams,1,2,1,1,1,2006
154,DJ Snake,1,8,1,8,1,2013
155,Daniel Caesar,1,1,1,4,1,2014
156,Black Eyed Peas,2,2,1,1,2,1998
157,Swae Lee,1,2,1,1,1,2010
158,Shreya Ghoshal,2,9,4,9,1,2002
159,Duki,1,24,2,1,1,2016
160,Bizarrap,1,24,2,10,1,2017
161,Migos,1,2,1,1,2,2013
162,The Kid LAROI,1,12,1,1,1,2018
163,Marília Mendonça,2,19,7,17,1,2011
164,Anitta,2,19,7,2,1,2012
165,Green Day,1,2,1,6,2,1990
166,Lil Durk,1,2,1,1,1,2011
167,Polo G,1,2,1,1,1,2017
168,A.R. Rahman,1,9,8,9,1,1992
169,G-Eazy,1,2,1,1,1,2006
170,Kid Cudi,1,2,1,1,1,2008
171,Justin Quiles,1,2,2,3,1,2010
172,Bob Marley & The Wailers,1,21,1,18,2,1962
173,Stray Kids,1,6,3,5,2,2018
174,Anirudh Ravichander,1,9,8,9,1,2012
175,Ne-Yo,1,2,1,4,1,2006
176,Gucci Mane,1,2,1,1,1,2005
177,ROSAL�?A,2,25,2,2,1,2016
178,Charli xcx,2,3,1,2,1,2008
179,Joji,1,26,1,4,1,2017
180,Fall Out Boy,1,2,1,6,2,2003
181,PARTYNEXTDOOR,1,1,1,4,1,2013
182,Jorge & Mateus,1,19,7,17,2,2007
183,Offset,1,2,1,1,1,2015
184,Panic! At The Disco,1,2,1,6,2,2005
185,Tame Impala,1,12,1,6,1,2008
186,Quevedo,1,25,2,3,1,2020
187,Morat,1,5,2,10,2,2015
188,Zara Larsson,2,16,1,2,1,2008
189,Tito Double P,1,11,2,11,1,2023
190,Jul,1,8,9,1,1,2013
191,2Pac,1,2,1,1,1,1991
192,Gorillaz,1,3,1,7,2,2001
193,Lewis Capaldi,1,10,1,2,1,2017
194,Grupo Frontera,1,2,2,11,2,2022
195,Camilo,1,5,2,2,1,2007
196,Lenny Tavárez,1,2,2,3,1,2009
197,2 Chainz,1,2,1,1,1,2007
198,NF,1,2,1,1,1,2010
199,Bryson Tiller,1,2,1,4,1,2011
200,Rels B,1,25,2,1,1,2014
201,Roddy Ricch,1,2,1,1,1,2017
202,Guns N' Roses,1,2,1,6,2,1985
203,Mariah Carey,2,2,1,2,1,1990
204,Noah Kahan,1,2,1,19,1,2017
205,Megan Thee Stallion,2,2,1,1,1,2016
206,Christian Nodal,1,11,2,11,1,2016
207,Brent Faiyaz,1,2,1,4,1,2013
208,Martin Garrix,1,20,1,8,1,2012
209,Banda MS de Sergio Lizárraga,1,11,2,11,2,2003
210,Pink Floyd,1,3,1,6,2,1967
211,mgk,1,2,1,1,1,2006
212,Wisin & Yandel,1,2,2,3,2,1998
213,Dr. Dre,1,2,1,1,1,1984
214,Mora,1,2,2,3,1,2017
215,Cigarettes After Sex,2,2,1,7,2,2008
216,Childish Gambino,1,2,1,1,1,2008
217,Wisin,1,2,2,3,1,2000
218,Major Lazer,2,2,1,8,2,2009
219,John Mayer,1,2,1,2,1,1999
220,Miguel,1,2,1,4,1,2010
221,Lil Nas X,1,2,1,1,1,2018
222,System Of A Down,1,2,1,20,2,1998
223,Logic,1,2,1,1,1,2009
224,ABBA,2,16,1,2,2,1972
225,Becky G,2,2,2,10,1,2013
226,Yandel,1,2,2,3,1,2003
227,Enrique Iglesias,1,25,2,10,1,1995
228,Lil Yachty,1,2,1,1,1,2015
229,Luis R Conriquez,1,11,2,11,1,2018
230,Zion & Lennox,1,2,2,3,2,2000
231,5 Seconds of Summer,1,12,1,6,2,2011
232,Jack Harlow,1,2,1,1,1,2015
233,TWICE,2,6,3,5,2,2015
234,Ñengo Flow,1,2,2,3,1,2004
235,Ava Max,2,2,1,2,1,2008
236,ZAYN,1,3,1,2,1,2010
237,Michael Bublé,1,1,1,2,1,2001
238,Macklemore,1,2,1,1,1,2000
239,Anne-Marie,2,3,1,2,1,2013
240,The Rolling Stones,1,3,1,6,2,1964
241,Frank Sinatra,1,2,1,2,1,1939
242,Robin Schulz,1,14,6,8,1,2014
