id_stats_game,positive,negative,price,initialprice,discount,ccu,owners_min,owners_max
12760,1,0,0.99,0.99,0,0,"50,000","100,000"
12761,80,74,0.99,0.99,0,0,"50,000","100,000"
12762,31,0,14.99,14.99,0,0,"50,000","100,000"
12763,325,65,0.0,0.0,0,4,"50,000","100,000"
12764,1418,169,8.99,8.99,0,6,"50,000","100,000"
12765,656,91,0.0,0.0,0,1,"50,000","100,000"
12766,47,1,0.71,2.99,76,1,"50,000","100,000"
12767,382,19,1.99,1.99,0,0,"50,000","100,000"
12768,246,22,6.99,6.99,0,0,"50,000","100,000"
12769,165,51,9.99,9.99,0,0,"50,000","100,000"
12770,86,40,3.99,3.99,0,6,"50,000","100,000"
12771,385,27,0.0,0.0,0,1,"50,000","100,000"
12772,41,8,0.0,0.0,0,0,"50,000","100,000"
12773,250,87,4.99,4.99,0,0,"50,000","100,000"
12774,11,1,0.99,0.99,0,0,"50,000","100,000"
12775,567,72,7.99,7.99,0,0,"50,000","100,000"
12776,1,1,9.99,9.99,0,0,"50,000","100,000"
12777,43,14,0.99,0.99,0,0,"50,000","100,000"
12778,8,4,7.99,7.99,0,0,"50,000","100,000"
12779,47,19,2.99,2.99,0,0,"50,000","100,000"
12780,1184,538,19.99,19.99,0,22,"50,000","100,000"
12781,44,22,0.0,0.0,0,0,"50,000","100,000"
12782,319,18,1.99,1.99,0,2,"50,000","100,000"
12783,78,36,0.0,0.0,0,0,"50,000","100,000"
12784,1017,87,6.99,6.99,0,1,"50,000","100,000"
12785,7,0,6.99,6.99,0,0,"50,000","100,000"
12786,3,2,2.99,2.99,0,0,"50,000","100,000"
12787,2,0,6.99,6.99,0,0,"50,000","100,000"
12788,64,14,10.99,10.99,0,1,"50,000","100,000"
12789,168,13,0.0,0.0,0,0,"50,000","100,000"
12790,1391,150,19.99,19.99,0,16,"50,000","100,000"
12791,556,113,19.99,19.99,0,0,"50,000","100,000"
12792,39,18,1.99,1.99,0,0,"50,000","100,000"
12793,245,246,19.99,19.99,0,3,"50,000","100,000"
12794,491,95,12.99,12.99,0,1,"50,000","100,000"
12795,43,36,4.99,4.99,0,0,"50,000","100,000"
12796,692,92,18.99,18.99,0,9,"50,000","100,000"
12797,589,12,4.99,4.99,0,22,"50,000","100,000"
12798,4,1,0.99,0.99,0,0,"50,000","100,000"
12799,5,0,1.99,1.99,0,0,"50,000","100,000"
12800,123,81,19.99,19.99,0,0,"50,000","100,000"
12801,416,115,5.99,5.99,0,0,"50,000","100,000"
12802,174,22,3.99,3.99,0,0,"50,000","100,000"
12803,41,22,4.99,4.99,0,0,"50,000","100,000"
12804,377,50,15.99,15.99,0,50,"50,000","100,000"
12805,367,111,19.99,19.99,0,4,"50,000","100,000"
12806,434,167,19.99,19.99,0,70,"50,000","100,000"
12807,18,4,12.99,12.99,0,0,"50,000","100,000"
12808,1,2,1.99,1.99,0,0,"50,000","100,000"
12809,1574,496,9.99,9.99,0,0,"50,000","100,000"
12810,1504,60,7.99,7.99,0,2,"50,000","100,000"
12811,749,257,9.99,9.99,0,2,"50,000","100,000"
12812,534,113,6.99,6.99,0,0,"50,000","100,000"
12813,152,6,9.99,9.99,0,2,"50,000","100,000"
12814,265,53,9.99,9.99,0,1,"50,000","100,000"
12815,1176,408,4.99,19.99,75,4,"50,000","100,000"
12816,102,51,13.99,13.99,0,1,"50,000","100,000"
12817,6,0,0.99,0.99,0,0,"50,000","100,000"
12818,458,70,4.99,4.99,0,2,"50,000","100,000"
