id_publisher,publisher
844,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
845,Abbey Games
846,Nexile
847,Anvil Game Studios
848,"Papaya Play, Vertigo Games America"
849,Boxelware
850,Dire Wolf
851,Awesome Games Studio
852,Thing Trunk
853,L2 Games
854,Bytro Labs Gmbh
855,Brutal Software
856,"Inxile Entertainment, Xbox Game Studios"
857,Nova Dimension
858,Joey Drew Studios
859,Agafonoff
860,Elijah Newman-Gomez
861,"Boundless Dynamics, Llc"
862,Yacht Club Games
863,Image & Form Games
864,Yeswecamp
865,ケイエル
866,Kiddy
867,Voxelloop Software Limited
868,"Bigscreen, Inc."
869,（Hong Kong）Gkd Game Studio
870,"Versus Evil, Tinybuild"
871,Laush Studio
872,Twin Sails Interactive
873,Bloober Team Na
874,"Goblinz Publishing, Maple Whispering Limited"
875,The Farm 51
876,"Maschinen-Mensch, Saftladen Berlin"
877,Skydance Interactive
878,Beawesome Games
879,Dark Curry S.L.
880,"Drago Entertainment, Shochiku"
881,Devika
882,Game Smithing Limited
883,Nobodyshot
884,"Bureau 81, Indienova"
885,Blue Wizard Digital
886,Sanctum Games
887,"Code Horizon, Playway S.A."
888,Blueline Games
889,Self Published
890,Uplay Online
891,"Smola Game Studio, Agafonoff"
892,Defiant Development
893,"Flow Fire Games, Whispergames"
894,Lightning Man Media
895,Capybara Games
896,Deli Interactive Llc
897,"Deck13, Whispergames, Dangen Entertainment, Mayflower Entertainment"
898,Empires
899,香港商河洛互動娛樂股份有限公司
900,Zen Studios
901,Chasing Carrots
902,"Paras Games, Obb Studio Inc."
903,Star Vault Ab
904,Daniel Mullins Games
905,Smart Game Booster
906,"Haemimont Games, Eurovideo Medien"
907,Jforce Games
908,Midjiwan Ab
909,Playtonic Friends
910,Maiden Gaming Inc.
911,Fireproof Games
912,Kit9 Studio
913,Virtual Basement Llc
914,Campfire Games
915,Sabotage Studio
916,Notovia
917,Spicyhorse Games
918,Picroma
919,Nvidia
920,Titulum Enterprises Limited
921,Giant Enemy Crab
922,Bandai Namco Entertainment Europe
923,Id Software
924,"Jundroo, Llc"
925,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
926,Noisestorm
927,Cold Beam Games
928,"Bandai Namco Entertainment, 株式会社バンダイナムコエンターテインメント"
929,Lafrontier
930,Npc Studio
931,Leafy Games
932,Nightdive Studios
933,Goldhawk Interactive
934,Die Of Death Games
935,No More Robots
936,Sparpweed
937,Casioqu
938,Introversion Software
939,Igg Singapore Pte. Ltd.
940,"Ysbryd Games, Playism"
941,Bluebutton Games
942,Forever Entertainment S. A.
943,Meta Interaction
944,Undaunted Games
945,Proletariat Inc.
946,Indiesolodev
947,Stegersaurus Software Inc.
948,Transhuman Design
949,Deca Live Operations Gmbh
950,Marxnet
951,Games Operators
952,Greens S.R.O.
953,Modern Wolf
954,Milestone S.R.L.
955,Reef Entertainment
956,Crafting Legends
957,Indieark
958,Bare Mettle Entertainment
959,Little Green Men Games
960,Neko Works
961,Strange Loop Games
962,Flow Fire Games
963,Alt Lab
964,Messhof
965,Blue Bottle Games
966,Facepalm Games
967,"Kingsisle Entertainment, Gamigo Group"
968,Trese Brothers
969,Fun & Simple
970,"Okyo Games, Dear Villagers"
971,Big Robot Ltd
972,Kwalee
973,Brilliant Game Studios
974,Turning Wheel Llc
975,Weather Factory
976,Bezbro Games
977,Team17 Digital
978,Planet Jem
979,Insayn
980,Bithell Games
981,Greylock Studio
982,"Nis America, Inc."
983,Hidden Path Entertainment
984,Pixel Puzzles
985,"Subvert Games, Polygon Moon"
986,Small Fish Big Dreams
987,Coatsink
988,The Knights Of Unity
989,"Cloudcade, Inc."
990,Freebird Games
991,Black Cardioid Games
992,3F Interactive
993,Cm Immersive
994,Digitaldna Games
995,Asymmetric
996,"Warner Bros. Interactive, Feral Interactive (Mac)"
997,Untold Tales
998,Atomteam
999,Gamestorming
1000,Oddworld Inhabitants
1001,Gamemill Entertainment
1002,1-Reality
1003,Mobitech Llc
1004,Rogueware
1005,"World Golf Tour, Llc"
